id,name,provider,provider_type,primary_category,description,eligibility,funding_amount_text,funding_amount_min,funding_amount_max,geographic_scope,application_status,how_to_apply,application_url,source_url,last_verified,notes
12,DHS Science & Technology SBIR Cybersecurity Topics,U.S. Department of Homeland Security (S&T Directorate),federal,cybersecurity,DHS S&T SBIR solicitations frequently fund small businesses developing cybersecurity and critical-infrastructure-protection technologies.,US-based small businesses developing R&D-stage cybersecurity technology.,"Phase I typically ~$150,000-$200,000; Phase II typically ~$1,000,000",150000,1000000,National,Periodic solicitation cycles,Respond to open topic solicitations via DHS SBIR portal.,https://www.dhs.gov/science-and-technology/sbir,https://www.dhs.gov/science-and-technology/sbir,2026-08-11,"Part of the federal SBIR/STTR program, reauthorized through FY2031."
11,DoD SBIR/STTR Cybersecurity Topics,U.S. Department of Defense,federal,cybersecurity,"Small Business Innovation Research / Small Business Technology Transfer solicitations that regularly include cybersecurity, secure systems, and cyber-resilience topic areas across DoD components.","US-based small businesses (for-profit, <500 employees per SBA size standards) developing R&D-stage technology.","Phase I typically ~$150,000-$250,000; Phase II typically ~$1,000,000+ (varies by solicitation)",150000,2000000,National,Periodic solicitation cycles; programs reauthorized through FY2031 as of April 2026,Respond to open topic solicitations on the DoD SBIR/STTR portal.,https://www.dodsbirsttr.mil/,https://www.iedconline.org/news/2026/04/15/federal-policy-updates/federal-policy-update-sbir-and-sttr-reauthorized/,2026-08-11,"SBIR/STTR reauthorized April 13, 2026 through FY2031; new Phase II 'Strategic Breakthrough' award vehicle up to $30M ceiling; up to $6,500 (Phase I) / $50,000 (Phase II) may be used for cybersecurity support and technical assistance."
13,NSF SBIR/STTR Secure & Trustworthy Computing Topics,National Science Foundation (NSF),federal,cybersecurity,NSF SBIR/STTR solicitations include cybersecurity and secure/trustworthy computing topic areas for early-stage small-business R&D.,US-based small businesses developing R&D-stage cybersecurity technology.,"Phase I up to ~$305,000; Phase II up to ~$1,250,000 (amounts adjusted periodically)",50000,1250000,National,Rolling submission windows several times per year,Submit a project pitch via the NSF SBIR/STTR portal.,https://seedfund.nsf.gov/,https://seedfund.nsf.gov/,2026-08-11,"Part of the federal SBIR/STTR program, reauthorized through FY2031."
1,SBA Cybersecurity for Small Business Pilot Program,U.S. Small Business Administration (SBA),federal,cybersecurity,"SBA pilot program awarding grants to state agencies/universities to deliver cybersecurity training, counseling, and tailored services to startups and emerging small businesses. FY2024-FY2026 awards went to Dakota State University, Eastern Washington University, and the University of Texas at San Antonio.","Small businesses access services indirectly through the funded state/university partners (training, counseling, assessments); the direct grantees are state agencies and universities.","$1,000,000 - $1,045,000 per awardee (24-month performance period)",1000000,1045000,"National (SD, WA, TX pilot sites)",Pilot program; performance period ends September 2026 - watch SBA.gov for renewal/expansion,"Small businesses should contact the funded partner institutions directly for free training/counseling; the grant itself is awarded to institutions, not individual businesses.",https://www.sba.gov/,https://www.sba.gov/article/2024/09/20/sba-awards-3-million-cybersecurity-pilot-program-grants,2026-08-11,Not a direct-to-business cash grant; funds free cybersecurity services delivered by pilot institutions.
8,CGA CMMC Tooling Grant,Cyber Grants Alliance (CGA),nonprofit,cybersecurity_protection,"In-kind grant covering tools/software needed to pursue Cybersecurity Maturity Model Certification (CMMC) compliance, aimed at defense-industrial-base small businesses.","Small businesses pursuing CMMC compliance (e.g., DoD contractors/subcontractors).",Varies (in-kind tooling credit),,,National,Rolling,Apply via the Cyber Grants Alliance website.,https://www.cybergrantsalliance.org/,https://www.cybergrantsalliance.org/,2026-08-11,"In-kind (service/tool credit), not cash."
9,CGA Employee Cybersecurity Training Grant,Cyber Grants Alliance (CGA),nonprofit,cybersecurity_protection,In-kind grant funding employee cybersecurity awareness training for qualifying small businesses.,Small businesses seeking employee security-awareness training.,Varies (in-kind training credit),,,National,Rolling,Apply via the Cyber Grants Alliance website.,https://www.cybergrantsalliance.org/,https://www.cybergrantsalliance.org/,2026-08-11,"In-kind (training credit), not cash."
7,CGA Penetration Testing Grant,Cyber Grants Alliance (CGA),nonprofit,cybersecurity_protection,In-kind grant covering a professional penetration test for a qualifying small business.,Small businesses wanting a funded pen test.,"$5,000 in-kind (one-time)",5000,5000,National,Rolling,Apply via the Cyber Grants Alliance website.,https://www.cybergrantsalliance.org/,https://www.cybergrantsalliance.org/,2026-08-11,"In-kind (service credit), not cash."
2,CISA/FEMA State and Local Cybersecurity Grant Program (SLCGP),Cybersecurity and Infrastructure Security Agency (CISA) / FEMA,federal,cybersecurity_protection,"$1B (FY2022-FY2026) federal program funding state/local cybersecurity planning and implementation. Only State Administrative Agencies (SAAs) may apply directly; states may sub-award portions to local governments and, in some states, to small businesses supporting critical infrastructure.",Direct applicants are State Administrative Agencies. Small businesses may benefit only through state-run sub-award/pass-through programs - check your state's SAA.,$1 billion total nationally across FY2022-FY2026,,,National (administered per state),Concludes active funding phase in FY2026; performance period runs through FY2029,Small businesses cannot apply directly - contact your state's Administrative Agency to ask about local sub-award opportunities.,https://www.cisa.gov/cybergrants/slcgp,https://www.fema.gov/grants/preparedness/state-local-cybersecurity-grant-program,2026-08-11,"Pass-through only; not a direct small-business grant, but the largest federal cybersecurity grant pool. Listed for awareness of state sub-programs (e.g., Massachusetts, Wisconsin, California below)."
5,California SLCGP (Cal OES),California Governor's Office of Emergency Services (Cal OES),state,cybersecurity_protection,"California's state-administered share of the federal SLCGP, funding cybersecurity planning and implementation for eligible entities statewide.",Local governments and eligible partner entities in California; small-business eligibility varies by sub-award cycle.,Varies by sub-award cycle,,,California,Rolling per state cycle,Apply through Cal OES SLCGP program office.,https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/grants-management/homeland-security-emergency-management-programs/state-and-local-cybersecurity-grant-program/,https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/grants-management/homeland-security-emergency-management-programs/state-and-local-cybersecurity-grant-program/,2026-08-11,Example of a state SLCGP pass-through program; verify current eligibility for private businesses each cycle.
3,Cyber Resilient Massachusetts Grant Program,Massachusetts Technology Collaborative / MassCyberCenter,state,cybersecurity_protection,"State grant program (NOFO 2026-Cyber-01) funding Security Operations Center (SOC) services for up to three years for eligible municipalities, small businesses, and nonprofits in Massachusetts.","Small businesses, municipalities, and nonprofits located in Massachusetts.","Up to $50,000",0,50000,Massachusetts,Open per NOFO 2026-Cyber-01 - check MassCyberCenter for current cycle dates,Submit application per the Notice of Funding Opportunity published by MassCyberCenter.,https://masscybercenter.org/notice-funding-opportunity-cyber-resilient-massachusetts-grant-program,https://masscybercenter.org/notice-funding-opportunity-cyber-resilient-massachusetts-grant-program,2026-08-11,One of the few state programs that funds small businesses directly for cybersecurity services (SOC-as-a-service).
6,CyberCert Silver Certification Grant,Cyber Grants Alliance (CGA),nonprofit,cybersecurity_protection,In-kind grant covering the cost of obtaining CyberCert Silver cybersecurity certification for a small business.,Small businesses seeking baseline cybersecurity certification.,"$5,000 in-kind (one-time)",5000,5000,National,Rolling,Apply via the Cyber Grants Alliance website.,https://www.cybergrantsalliance.org/,https://www.cybergrantsalliance.org/,2026-08-11,"In-kind (service credit), not cash."
10,NIST MEP Cybersecurity Assistance,National Institute of Standards and Technology (NIST) Manufacturing Extension Partnership,federal,cybersecurity_protection,"Not a cash grant, but federally-funded technical assistance through MEP Centers to help small manufacturers assess and improve cybersecurity posture (e.g., NIST 800-171 / CMMC readiness).",Small and mid-sized manufacturers.,Free/subsidized technical assistance (varies by state MEP Center),,,National (delivered via state MEP Centers),Ongoing,Contact your state's MEP Center.,https://www.nist.gov/mep,https://www.nist.gov/mep,2026-08-11,Service/assistance program rather than a cash award; included because it is a major cybersecurity-protection resource for small manufacturers.
4,Wisconsin SLCGP Sub-Award Funding,Wisconsin Office of the Governor / State Administrative Agency,state,cybersecurity_protection,"Wisconsin's state-administered share of the federal SLCGP, sub-awarded to eligible local entities for cybersecurity planning, endpoint protection, and infrastructure hardening.","Local government entities and, in some cycles, small businesses supporting local critical infrastructure in Wisconsin.",Varies by sub-award cycle,,,Wisconsin,Rolling per state cycle,Apply through Wisconsin's SLCGP state administrative agency portal.,https://widma.org/,https://info.vc3.com/wisconsin-slcgp-funds,2026-08-11,Example of a state SLCGP pass-through program; verify current eligibility for private businesses each cycle.
21,Amber Grant for Women,WomensNet,private,small_business_general,"Monthly grant awarding $10,000 to a woman-owned business, with one annual winner from among monthly winners receiving an additional $25,000.",Women-owned businesses.,"$10,000/month; $25,000 annual bonus award",10000,35000,National (US),Monthly rolling applications,Apply online via the Amber Grant website ($15 application fee as of last review).,https://ambergrantsforwomen.com/,https://ambergrantsforwomen.com/,2026-08-11,"Short, accessible application; good entry point for first-time grant seekers."
23,Comcast RISE,Comcast,private,small_business_general,"Provides free marketing services, technology makeovers (including tech/security-relevant upgrades), and grant funding to small businesses, awarded quarterly.","Business operational 1+ years, located within Comcast/Effectv service area, 51%+ owned by a woman or person of color.",Marketing/tech services package; monetary grant amount varies by cycle,,,Comcast/Effectv service areas (US),Quarterly application cycles,Apply online during the open quarterly window.,https://www.comcastrise.com/,https://www.comcastrise.com/,2026-08-11,Includes technology makeovers that can cover cybersecurity/IT upgrades for winning businesses.
22,FedEx Small Business Grant Contest,FedEx,private,small_business_general,"Annual contest awarding grants to innovative small businesses, judged on business merit and community impact.",US-based small businesses (specific size/revenue criteria set each cycle).,"$15,000 - $50,000",15000,50000,National (US),Annual competition,Apply during the annual open window via the FedEx Small Business Grant Contest site.,https://www.fedex.com/en-us/small-business/grant-contest.html,https://www.fedex.com/en-us/small-business/grant-contest.html,2026-08-11,Highly competitive annual contest; watch for the application window each year.
20,Grants.gov (Federal Grant Portal),U.S. Government (Grants.gov),portal,small_business_general,"The central federal clearinghouse for all federally funded grant opportunities, including cybersecurity and small-business programs. Not a grant itself - a search/alert tool.",Varies by individual opportunity listed.,N/A (portal),,,National,Always open (portal),"Create a free account, set keyword alerts (e.g., 'cybersecurity', 'small business'), and filter by eligibility.",https://www.grants.gov/,https://www.grants.gov/,2026-08-11,Use this as an ongoing discovery tool alongside this database.
24,Hello Alice Small Business Grants,"Hello Alice (with corporate partners: eBay, FedEx, H&R Block, Allstate, DoorDash, PayPal, and others)",private,small_business_general,Ongoing series of corporate-sponsored grant programs distributed through the Hello Alice platform; has distributed $57M+ in grant capital to small business owners.,Varies per specific grant program; create a Hello Alice business profile to match to open opportunities.,"$5,000 - $25,000 typical per award (varies by program)",5000,25000,National (US),Rolling - new programs open throughout the year,Create a free business profile at helloalice.com and apply to matched open grants.,https://www.helloalice.com/small-business-grants-and-funding,https://www.helloalice.com/small-business-grants-and-funding,2026-08-11,Aggregator of many corporate-sponsored grants; check regularly as new cycles open.
17,SBA FAST (Federal and State Technology Partnership),U.S. Small Business Administration (SBA),federal,small_business_general,"Helps states build infrastructure and outreach to increase small-business participation in SBIR/STTR programs, including cybersecurity R&D topics.",State/regional economic development or technology organizations (not individual businesses directly).,Varies by state award,,,National (administered per state),Annual competitive cycle,State technology development organizations apply directly; small businesses benefit from resulting SBIR/STTR outreach and support services.,https://www.sba.gov/,https://www.sba.gov/,2026-08-11,Indirect benefit to small businesses via improved state SBIR/STTR support infrastructure.
16,SBA Growth Accelerator Fund Competition,U.S. Small Business Administration (SBA),federal,small_business_general,"Cash-prize competition for accelerators, incubators, and other ecosystem organizations that support underrepresented entrepreneurs, including tech and cyber-adjacent founders.",Accelerators/incubators/ecosystem organizations (not individual businesses directly).,"~$50,000 per award",50000,50000,National,Annual competition,Apply via SBA's Growth Accelerator Fund Competition portal when open.,https://www.sba.gov/,https://www.sba.gov/,2026-08-11,"Awarded to ecosystem organizations, which often support cybersecurity startups among their portfolio."
14,SBA PRIME (Program for Investment in Microentrepreneurs),U.S. Small Business Administration (SBA),federal,small_business_general,Funds nonprofit organizations that provide training and technical assistance to low-income and disadvantaged microentrepreneurs.,Direct grantees are nonprofit microenterprise development organizations; microentrepreneurs benefit indirectly through training/services.,"~$5M/year program total; individual awards typically $75,000-$250,000",75000,250000,National,Annual competitive cycle,Nonprofits apply via Grants.gov; microentrepreneurs contact local PRIME grantees for services.,https://www.sba.gov/,https://www.sba.gov/,2026-08-11,Pass-through program; not direct cash to individual businesses.
19,SBA SCALE (Supply Chain Acceleration and Logistics Enablement) Program,U.S. Small Business Administration (SBA),federal,small_business_general,SBA program announced with $9 million in grant funding (July 2026) supporting small businesses in supply-chain and logistics resilience.,Eligible small businesses in supply chain/logistics sectors - check current NOFO for specifics.,"$9,000,000 total program funding",,,National,Announced July 2026 - check SBA.gov for application window,Follow the official Notice of Funding Opportunity on SBA.gov.,https://www.sba.gov/,https://legacy.sba.gov/article/2026/07/23/sba-announces-9-million-grant-funding-supply-chain-acceleration-logistics-enablement-scale-program,2026-08-11,Recently announced (July 2026); confirm current application status before relying on this entry.
15,SBA STEP (State Trade Expansion Program),U.S. Small Business Administration (SBA),federal,small_business_general,"Funds state governments to help small businesses start or expand exporting, including trade-show grants, export training, and market entry support.","Small businesses pursuing export growth, accessed through their state's STEP-awarded agency.","~$20M/year program total, distributed to states",,,National (administered per state),Annual,Apply through your state's designated STEP administering agency.,https://www.sba.gov/local-assistance/programs/state-trade-expansion-program-step,https://www.sba.gov/local-assistance/programs/state-trade-expansion-program-step,2026-08-11,Funds flow through states; check your state's economic development office for current cycle.
